case,answer,players,shapley_circuit_eq_bruteforce,max_abs_diff,efficiency_ok,shapley,why_not_subtrahend
path_plus_cyc,"frozenset({('?x', 'B'), ('?y', 'A')})",3,yes,0,yes,e2=1/2 e3=0 e4=1/2,
path_plus_cyc,"frozenset({('?x', 'A'), ('?y', 'A')})",4,yes,0,yes,e1=1/12 e2=1/12 e3=1/4 e4=7/12,
path_plus_cyc,"frozenset({('?y', 'B'), ('?x', 'C')})",2,yes,0,yes,e1=1/2 e4=1/2,
path_plus_cyc,"frozenset({('?x', 'C'), ('?y', 'C')})",4,yes,0,yes,e1=1/12 e2=1/12 e3=1/4 e4=7/12,
path_plus_cyc,"frozenset({('?x', 'B'), ('?y', 'B')})",3,yes,0,yes,e1=1/3 e2=1/3 e4=1/3,
path_star_cyc,"frozenset({('?x', 'A'), ('?y', 'B')})",1,yes,0,yes,e1=1,
path_star_cyc,"frozenset({('?x', 'B'), ('?y', 'C')})",4,yes,0,yes,e1=0 e2=1 e3=0 e4=0,
path_star_cyc,"frozenset({('?x', 'A'), ('?y', 'C')})",4,yes,0,yes,e1=1/6 e2=1/6 e3=2/3 e4=0,
path_star_cyc,"frozenset({('?x', 'C'), ('?y', 'A')})",1,yes,0,yes,e4=1,
path_star_cyc,"frozenset({('?x', 'B'), ('?y', 'A')})",3,yes,0,yes,e2=1/2 e3=0 e4=1/2,
path_star_cyc,"frozenset({('?x', 'A'), ('?y', 'A')})",4,yes,0,yes,e1=1/3 e2=0 e3=1/3 e4=1/3,
path_star_cyc,"frozenset({('?y', 'B'), ('?x', 'C')})",2,yes,0,yes,e1=1/2 e4=1/2,
path_star_cyc,"frozenset({('?x', 'C'), ('?y', 'C')})",4,yes,0,yes,e1=0 e2=1/3 e3=1/3 e4=1/3,
path_star_cyc,"frozenset({('?x', 'B'), ('?y', 'B')})",3,yes,0,yes,e1=1/2 e2=1/2 e4=0,
path_bound_src,"frozenset({('?y', 'B')})",1,yes,0,yes,e1=1,
path_bound_src,"frozenset({('?y', 'C')})",4,yes,0,yes,e1=1/6 e2=1/6 e3=2/3 e4=0,
path_bound_src,"frozenset({('?y', 'A')})",4,yes,0,yes,e1=1/12 e2=1/12 e3=1/4 e4=7/12,
path_seq,"frozenset({('?z', 'Z'), ('?x', 'X')})",2,yes,0,yes,a=1/2 b=1/2,
path_alt,"frozenset({('?z', 'Z'), ('?x', 'X')})",3,yes,0,yes,a=1/6 b=1/6 c=2/3,
path_inv,"frozenset({('?y', 'Y'), ('?x', 'X')})",1,yes,0,yes,a=1,
path_opt,"frozenset({('?z', 'Z'), ('?x', 'X')})",1,yes,0,yes,c=1,
path_opt,"frozenset({('?x', 'Y'), ('?z', 'Y')})",3,yes,0,yes,a=1/3 b=1/3 d=1/3,
path_opt,"frozenset({('?z', 'X'), ('?x', 'X')})",2,yes,0,yes,a=1/2 c=1/2,
path_opt,"frozenset({('?z', 'Z'), ('?x', 'Z')})",3,yes,0,yes,b=1/3 c=1/3 d=1/3,
path_plus_join,"frozenset({('?y', 'C')})",4,yes,0,yes,e1=1/12 e2=1/12 e3=1/4 e4=7/12,
